num_bdi_actions,num_rl_actions,plan_found,variation,error,bdi_score,rl_score,final_score,complete,num_plans,plan_library_size,plans_pct,eps,drrn_model_file,nli_model
5,50,1,24,True,0,2,2,False,3,15,25,614,models/model_task1melt/model-steps80000-eps614.pt,MoritzLaurer/MiniLM-L6-mnli
2,50,1,25,True,0,2,2,False,2,15,25,614,models/model_task1melt/model-steps80000-eps614.pt,MoritzLaurer/MiniLM-L6-mnli
0,50,0,26,True,0,3,3,False,0,15,25,614,models/model_task1melt/model-steps80000-eps614.pt,MoritzLaurer/MiniLM-L6-mnli
0,50,0,27,True,0,2,2,False,0,15,25,614,models/model_task1melt/model-steps80000-eps614.pt,MoritzLaurer/MiniLM-L6-mnli
0,50,0,28,True,0,2,2,False,0,15,25,614,models/model_task1melt/model-steps80000-eps614.pt,MoritzLaurer/MiniLM-L6-mnli
0,50,0,29,True,0,2,2,False,0,15,25,614,models/model_task1melt/model-steps80000-eps614.pt,MoritzLaurer/MiniLM-L6-mnli
0,50,0,21,True,0,3,3,False,0,18,50,117,models/model_task1melt/model-steps8000-eps117.pt,MoritzLaurer/MiniLM-L6-mnli
0,50,0,22,True,0,3,3,False,0,18,50,117,models/model_task1melt/model-steps8000-eps117.pt,MoritzLaurer/MiniLM-L6-mnli
0,50,0,23,True,0,3,3,False,0,18,50,117,models/model_task1melt/model-steps8000-eps117.pt,MoritzLaurer/MiniLM-L6-mnli
5,50,1,24,True,0,3,3,False,3,18,50,117,models/model_task1melt/model-steps8000-eps117.pt,MoritzLaurer/MiniLM-L6-mnli
2,50,1,25,True,0,3,3,False,2,18,50,117,models/model_task1melt/model-steps8000-eps117.pt,MoritzLaurer/MiniLM-L6-mnli
0,50,0,26,True,0,3,3,False,0,18,50,117,models/model_task1melt/model-steps8000-eps117.pt,MoritzLaurer/MiniLM-L6-mnli
0,50,0,27,True,0,3,3,False,0,18,50,117,models/model_task1melt/model-steps8000-eps117.pt,MoritzLaurer/MiniLM-L6-mnli
20,50,1,28,True,70,0,70,False,7,18,50,117,models/model_task1melt/model-steps8000-eps117.pt,MoritzLaurer/MiniLM-L6-mnli
20,50,1,29,True,70,0,70,False,7,18,50,117,models/model_task1melt/model-steps8000-eps117.pt,MoritzLaurer/MiniLM-L6-mnli
0,50,0,21,True,0,3,3,False,0,18,50,173,models/model_task1melt/model-steps16000-eps173.pt,MoritzLaurer/MiniLM-L6-mnli
0,50,0,22,True,0,3,3,False,0,18,50,173,models/model_task1melt/model-steps16000-eps173.pt,MoritzLaurer/MiniLM-L6-mnli
0,50,0,23,True,0,3,3,False,0,18,50,173,models/model_task1melt/model-steps16000-eps173.pt,MoritzLaurer/MiniLM-L6-mnli
